idoffspring	siresim	damsim	a	e	p	fam	pool
off.49911	id0023	id0036	5.07471687304042	-56.5982845667459	-51.5235676937054	50	1
off.49145	id0023	id0036	82.8655643865079	-84.7038526834127	-1.83828829690479	50	1
off.10148	id0024	id0034	-42.8114476049809	65.8731291160861	23.0616815111053	11	0
off.22278	id0030	id0031	104.426686910315	-80.767765204284	23.6589217060312	23	0
off.22306	id0030	id0031	23.4030120060058	8.19583435775053	31.5988463637563	23	0
off.49768	id0023	id0036	3.59012493120298	33.8108020734901	37.4009270046931	50	0
off.49117	id0023	id0036	101.047892320821	-55.2373740943147	45.810518226506	50	0
off.22835	id0030	id0031	113.89435885475	-67.4608794102862	46.4334794444634	23	0
off.49140	id0023	id0036	200.579250002567	-132.196364691367	68.3828853112003	50	0
off.4083	id0040	id0028	205.492743831271	-124.42751337224	81.0652304590311	5	0
off.49252	id0023	id0036	214.716800427011	-103.609734661937	111.107065765074	50	0
off.19419	id0023	id0035	132.196543827536	-3.67375486021427	128.522788967322	20	0
off.40121	id0030	id0034	68.1160314843407	72.0926777199467	140.208709204287	41	0
off.22123	id0030	id0031	124.243745976202	18.8069649612322	143.050710937434	23	0
off.359	id0030	id0036	48.3307087103957	101.790621894479	150.121330604875	1	0
off.40326	id0030	id0034	80.1775990886456	74.0162543095444	154.19385339819	41	0
off.39631	id0024	id0036	146.8765842438	12.7060793011673	159.582663544968	40	0
off.10725	id0024	id0034	265.676103792857	-101.880812215877	163.79529157698	11	0
off.49681	id0023	id0036	155.303861916968	21.2902589312984	176.594120848266	50	0
off.49744	id0023	id0036	-16.0056406723559	198.480637392556	182.4749967202	50	0
off.39056	id0024	id0036	-3.5208366249079	193.80157448063	190.280737855722	40	0
off.26967	id0033	id0035	296.419568385419	-103.80906532519	192.61050306023	27	0
off.22916	id0030	id0031	15.4855411214633	185.960765151472	201.446306272935	23	0
off.22058	id0030	id0031	-36.1437598910455	241.255889046373	205.112129155328	23	0
off.19484	id0023	id0035	128.034903638695	81.8619141185301	209.896817757225	20	0
off.39427	id0024	id0036	29.9448081241347	184.065669468763	214.010477592898	40	0
off.22330	id0030	id0031	65.9320439775861	150.179072601124	216.11111657871	23	0
off.22948	id0030	id0031	8.11512982430125	208.040511779392	216.155641603693	23	0
off.361	id0030	id0036	63.777862369333	154.67636138057	218.454223749903	1	0
off.471	id0030	id0036	149.910100337258	70.4211204280421	220.3312207653	1	0
off.22465	id0030	id0031	113.627224792483	107.459625322605	221.086850115087	23	0
off.22498	id0030	id0031	21.0820769266638	200.256084094901	221.338161021565	23	0
off.39204	id0024	id0036	155.659911406752	66.3496590755163	222.009570482268	40	0
off.4906	id0040	id0028	158.921098919357	63.5847162544766	222.505815173834	5	0
off.4309	id0040	id0028	93.1520060598395	129.795072569281	222.947078629121	5	0
off.10845	id0024	id0034	189.483064146188	34.7508147235676	224.233878869756	11	0
off.590	id0030	id0036	107.037804147547	117.609450978107	224.647255125654	1	0
off.22466	id0030	id0031	-16.8705227709245	243.836734602521	226.966211831597	23	0
off.40976	id0030	id0034	183.841554455839	48.7681572654441	232.609711721283	41	0
off.4673	id0040	id0028	170.43437729721	64.2390800104781	234.673457307688	5	0
off.39383	id0024	id0036	24.7375861262003	213.379023545065	238.116609671266	40	0
off.49839	id0023	id0036	-3.10635878517868	242.337141160057	239.230782374878	50	0
